Unnamed: 0,Date,Open,High,Low,Close,Volume
0,2024-02-05 09:15:00,2215.75,2248.3,2212.8,2242.05,86800
1,2024-02-05 09:30:00,2241.45,2251.7,2239.3,2244.9,66150
2,2024-02-05 09:45:00,2245.05,2247.95,2234.0,2236.85,30800
3,2024-02-05 10:00:00,2236.95,2238.65,2222.95,2236.25,27300
4,2024-02-05 10:15:00,2236.95,2238.25,2224.8,2226.8,17850
5,2024-02-05 10:30:00,2226.3,2226.3,2206.4,2209.25,28350
6,2024-02-05 10:45:00,2208.4,2208.95,2193.9,2196.0,39200
7,2024-02-05 11:00:00,2195.95,2196.9,2186.55,2196.9,21700
8,2024-02-05 11:15:00,2197.0,2203.65,2193.35,2199.45,18900
9,2024-02-05 11:30:00,2199.7,2200.1,2193.0,2193.0,12600
10,2024-02-05 11:45:00,2193.85,2195.95,2192.3,2192.5,9450
11,2024-02-05 12:00:00,2192.45,2202.0,2190.6,2200.85,11550
12,2024-02-05 12:15:00,2201.6,2201.6,2190.25,2190.25,8050
13,2024-02-05 12:30:00,2190.25,2193.0,2186.8,2190.85,10850
14,2024-02-05 12:45:00,2191.65,2193.1,2187.7,2192.05,12250
15,2024-02-05 13:00:00,2193.4,2193.55,2188.15,2189.95,15050
16,2024-02-05 13:15:00,2190.55,2191.6,2184.4,2184.9,12250
17,2024-02-05 13:30:00,2184.1,2188.85,2183.85,2186.5,12600
18,2024-02-05 13:45:00,2188.4,2191.85,2186.3,2189.95,9450
19,2024-02-05 14:00:00,2190.3,2190.85,2182.4,2187.4,10850
20,2024-02-05 14:15:00,2186.05,2186.8,2183.0,2184.65,4550
21,2024-02-05 14:30:00,2185.8,2185.8,2174.3,2175.5,21350
22,2024-02-05 14:45:00,2175.4,2182.45,2170.65,2172.55,28700
23,2024-02-05 15:00:00,2173.7,2187.0,2173.7,2185.8,33600
24,2024-02-05 15:15:00,2185.5,2191.0,2184.4,2188.4,51800
25,2024-02-06 09:15:00,2190.4,2208.1,2188.7,2201.25,29400
