Unnamed: 0,Date,Open,High,Low,Close,Volume
0,2024-02-05 09:15:00,824.65,836.75,821.75,835.65,194400
1,2024-02-05 09:30:00,835.75,839.15,834.3,834.75,102600
2,2024-02-05 09:45:00,835.35,841.15,834.35,840.8,50400
3,2024-02-05 10:00:00,839.5,841.1,835.3,839.25,61200
4,2024-02-05 10:15:00,840.05,840.35,829.3,832.0,100800
5,2024-02-05 10:30:00,832.5,838.1,831.8,834.25,121500
6,2024-02-05 10:45:00,834.65,835.45,832.3,833.85,27000
7,2024-02-05 11:00:00,834.6,835.25,824.65,827.5,131400
8,2024-02-05 11:15:00,828.2,828.75,822.05,824.05,83700
9,2024-02-05 11:30:00,824.7,827.15,819.65,821.95,70200
10,2024-02-05 11:45:00,821.75,822.3,818.55,819.25,89100
11,2024-02-05 12:00:00,819.05,820.5,818.55,819.75,23400
12,2024-02-05 12:15:00,821.3,822.35,819.3,819.6,50400
13,2024-02-05 12:30:00,819.6,821.65,816.4,821.65,71100
14,2024-02-05 12:45:00,821.0,822.75,820.7,820.7,50400
15,2024-02-05 13:00:00,820.9,821.2,817.55,817.75,20700
16,2024-02-05 13:15:00,817.75,818.0,815.75,815.75,54000
17,2024-02-05 13:30:00,816.4,821.05,816.4,818.55,31500
18,2024-02-05 13:45:00,819.3,823.7,819.3,821.3,63000
19,2024-02-05 14:00:00,821.15,824.95,819.9,824.15,48600
20,2024-02-05 14:15:00,824.3,826.35,824.0,825.85,46800
21,2024-02-05 14:30:00,825.85,826.7,821.35,821.35,55800
22,2024-02-05 14:45:00,821.55,823.15,820.25,821.4,41400
23,2024-02-05 15:00:00,821.95,825.6,821.6,825.0,45900
24,2024-02-05 15:15:00,825.0,825.5,816.9,820.1,131400
25,2024-02-06 09:15:00,844.9,872.9,844.2,852.0,539100
26,2024-02-06 09:30:00,850.9,861.0,848.65,852.9,231300
27,2024-02-06 09:45:00,852.5,863.9,852.05,862.7,195300
28,2024-02-06 10:00:00,862.75,865.3,857.2,864.0,169200
29,2024-02-06 10:15:00,864.9,866.5,860.5,860.5,139500
30,2024-02-06 10:30:00,860.25,860.5,851.0,856.55,182700
31,2024-02-06 10:45:00,855.15,858.55,855.1,858.55,36000
32,2024-02-06 11:00:00,859.1,862.6,858.85,860.35,52200
33,2024-02-06 11:15:00,860.5,860.65,858.0,859.75,21600
34,2024-02-06 11:30:00,860.5,863.75,858.2,863.75,74700
35,2024-02-06 11:45:00,863.7,871.25,863.2,869.6,229500
36,2024-02-06 12:00:00,869.15,871.9,865.7,866.55,130500
37,2024-02-06 12:15:00,866.5,866.5,862.35,865.3,36900
38,2024-02-06 12:30:00,865.3,868.65,862.45,863.2,50400
39,2024-02-06 12:45:00,863.45,864.05,859.4,860.15,45900
40,2024-02-06 13:00:00,860.55,861.2,856.65,857.25,54900
41,2024-02-06 13:15:00,856.7,858.45,855.75,857.5,37800
42,2024-02-06 13:30:00,857.9,859.25,857.3,859.25,18000
43,2024-02-06 13:45:00,859.25,859.9,857.7,859.4,25200
44,2024-02-06 14:00:00,858.85,859.9,857.5,857.5,47700
45,2024-02-06 14:15:00,857.65,861.3,857.65,858.85,36000
46,2024-02-06 14:30:00,860.5,863.7,860.2,861.5,31500
47,2024-02-06 14:45:00,861.25,861.4,859.0,859.8,28800
48,2024-02-06 15:00:00,860.45,863.4,859.55,863.0,58500
49,2024-02-06 15:15:00,862.65,864.35,861.55,864.35,111600
50,2024-02-07 09:15:00,863.1,863.55,856.2,859.4,65700
51,2024-02-07 09:30:00,858.35,861.55,856.8,857.8,108000
52,2024-02-07 09:45:00,858.4,858.4,855.1,856.9,41400
53,2024-02-07 10:00:00,855.35,859.1,855.35,858.85,69300
54,2024-02-07 10:15:00,858.9,859.6,856.65,857.45,66600
55,2024-02-07 10:30:00,857.75,860.2,856.8,857.6,68400
