,Date,Open,High,Low,Close,Volume
0,20250203  09:15:00,23321.65,23336.75,23247.05,23263.0,0
1,20250203  09:20:00,23261.5,23285.2,23240.3,23275.25,0
2,20250203  09:25:00,23274.6,23335.85,23268.0,23335.1,0
3,20250203  09:30:00,23334.2,23343.85,23317.0,23317.35,0
4,20250203  09:35:00,23316.75,23317.95,23271.5,23288.45,0
5,20250203  09:40:00,23288.25,23315.7,23257.05,23257.1,0
6,20250203  09:45:00,23257.55,23258.95,23223.05,23225.3,0
7,20250203  09:50:00,23227.0,23248.1,23222.55,23241.05,0
8,20250203  09:55:00,23240.25,23255.35,23235.25,23246.55,0
9,20250203  10:00:00,23248.8,23260.1,23238.3,23243.8,0
10,20250203  10:05:00,23245.0,23270.45,23242.9,23261.85,0
11,20250203  10:10:00,23261.25,23277.35,23255.4,23263.7,0
12,20250203  10:15:00,23262.5,23262.95,23239.65,23245.5,0
13,20250203  10:20:00,23247.0,23284.7,23242.15,23276.6,0
14,20250203  10:25:00,23277.9,23285.45,23266.65,23282.1,0
15,20250203  10:30:00,23282.0,23287.75,23270.05,23279.9,0
16,20250203  10:35:00,23280.1,23287.25,23271.0,23272.8,0
17,20250203  10:40:00,23273.85,23315.7,23270.55,23309.7,0
18,20250203  10:45:00,23309.5,23324.85,23308.65,23314.1,0
19,20250203  10:50:00,23314.45,23317.5,23293.55,23300.4,0
20,20250203  10:55:00,23300.45,23317.95,23298.3,23317.55,0
21,20250203  11:00:00,23318.0,23328.35,23314.05,23320.9,0
22,20250203  11:05:00,23320.95,23323.2,23310.9,23311.9,0
23,20250203  11:10:00,23313.65,23324.75,23312.5,23322.65,0
24,20250203  11:15:00,23322.3,23338.6,23320.75,23333.0,0
25,20250203  11:20:00,23332.15,23334.6,23311.55,23313.85,0
26,20250203  11:25:00,23313.75,23313.85,23285.9,23290.5,0
27,20250203  11:30:00,23289.95,23293.75,23276.9,23286.2,0
28,20250203  11:35:00,23285.8,23292.45,23269.3,23270.9,0
29,20250203  11:40:00,23271.65,23276.45,23253.05,23270.3,0
30,20250203  11:45:00,23269.75,23283.0,23263.65,23278.85,0
31,20250203  11:50:00,23278.4,23283.85,23271.55,23275.15,0
32,20250203  11:55:00,23276.05,23287.1,23274.9,23281.35,0
33,20250203  12:00:00,23281.25,23299.2,23280.65,23296.2,0
34,20250203  12:05:00,23297.05,23306.35,23296.05,23298.35,0
