,Date,Open,High,Low,Close,Volume
93,20250203  12:20:00,49193.0,49202.0,49172.5,49194.0,0
94,20250203  12:22:00,49199.5,49204.0,49188.5,49190.0,0
95,20250203  12:24:00,49190.0,49223.5,49182.5,49211.0,0
96,20250203  12:26:00,49208.5,49218.5,49195.0,49210.5,0
97,20250203  12:28:00,49207.5,49208.0,49173.5,49189.0,0
98,20250203  12:30:00,49182.5,49211.0,49177.5,49202.0,0
99,20250203  12:32:00,49201.5,49221.0,49196.0,49204.0,0
100,20250203  12:34:00,49207.5,49240.0,49204.5,49236.5,0
101,20250203  12:36:00,49237.5,49239.5,49199.0,49210.0,0
102,20250203  12:38:00,49211.0,49223.5,49203.0,49211.5,0
103,20250203  12:40:00,49213.5,49224.0,49201.0,49211.5,0
104,20250203  12:42:00,49215.5,49221.0,49191.0,49194.5,0
105,20250203  12:44:00,49196.0,49201.5,49174.5,49195.5,0
106,20250203  12:46:00,49198.5,49199.0,49152.0,49155.5,0
107,20250203  12:48:00,49165.5,49174.0,49153.5,49164.0,0
108,20250203  12:50:00,49165.5,49169.5,49132.5,49141.5,0
109,20250203  12:52:00,49136.5,49148.5,49123.0,49147.5,0
110,20250203  12:54:00,49149.5,49170.0,49139.5,49166.5,0
111,20250203  12:56:00,49165.5,49182.5,49157.0,49176.5,0
112,20250203  12:58:00,49176.0,49210.5,49169.5,49200.5,0
113,20250203  13:00:00,49208.5,49224.5,49195.0,49201.0,0
114,20250203  13:02:00,49196.0,49289.5,49190.0,49288.0,0
115,20250203  13:04:00,49287.0,49315.5,49276.5,49282.0,0
116,20250203  13:06:00,49278.0,49315.5,49255.0,49314.0,0
117,20250203  13:08:00,49317.5,49359.5,49309.0,49352.5,0
118,20250203  13:10:00,49353.0,49369.5,49325.0,49339.5,0
119,20250203  13:12:00,49337.0,49353.5,49329.0,49342.5,0
120,20250203  13:14:00,49343.0,49358.5,49331.5,49339.0,0
121,20250203  13:16:00,49343.5,49356.5,49326.0,49330.5,0
122,20250203  13:18:00,49335.5,49340.0,49274.5,49283.0,0
123,20250203  13:20:00,49283.0,49303.0,49276.5,49287.5,0
124,20250203  13:22:00,49292.0,49292.0,49258.0,49275.5,0
125,20250203  13:24:00,49276.5,49284.5,49257.5,49262.5,0
126,20250203  13:26:00,49267.5,49277.5,49256.5,49263.5,0
127,20250203  13:28:00,49263.5,49263.5,49200.0,49211.0,0
128,20250203  13:30:00,49212.0,49236.5,49206.5,49209.5,0
129,20250203  13:32:00,49213.5,49229.5,49202.5,49219.0,0
130,20250203  13:34:00,49220.0,49227.5,49203.0,49214.0,0
131,20250203  13:36:00,49212.5,49223.5,49199.5,49216.5,0
132,20250203  13:38:00,49220.5,49246.5,49216.5,49228.5,0
133,20250203  13:40:00,49233.0,49256.5,49226.0,49250.5,0
134,20250203  13:42:00,49245.5,49258.0,49234.5,49248.5,0
135,20250203  13:44:00,49248.0,49287.5,49242.0,49279.0,0
136,20250203  13:46:00,49277.0,49299.0,49256.5,49295.5,0
137,20250203  13:48:00,49298.5,49312.5,49273.0,49273.5,0
138,20250203  13:50:00,49271.5,49276.5,49203.5,49211.5,0
139,20250203  13:52:00,49218.0,49222.0,49188.0,49216.5,0
140,20250203  13:54:00,49220.5,49231.0,49202.0,49202.0,0
141,20250203  13:56:00,49203.0,49207.5,49192.5,49198.0,0
142,20250203  13:58:00,49199.0,49215.0,49197.5,49207.0,0
143,20250203  14:00:00,49209.5,49239.5,49203.5,49214.5,0
144,20250203  14:02:00,49214.5,49240.0,49201.0,49214.5,0
145,20250203  14:04:00,49219.0,49232.5,49206.0,49230.0,0
146,20250203  14:06:00,49230.5,49250.5,49221.5,49233.0,0
147,20250203  14:08:00,49242.5,49260.0,49226.5,49235.0,0
148,20250203  14:10:00,49234.0,49238.0,49221.0,49234.5,0
