Unnamed: 0,Date,Open,High,Low,Close,Volume
0,2024-02-05 09:15:00,1847.25,1864.05,1834.25,1842.0,31200
1,2024-02-05 09:30:00,1839.9,1840.95,1836.3,1837.6,12400
2,2024-02-05 09:45:00,1836.15,1838.0,1835.55,1837.75,5600
3,2024-02-05 10:00:00,1840.35,1840.45,1822.15,1823.15,16000
4,2024-02-05 10:15:00,1824.5,1824.55,1813.15,1815.15,32800
5,2024-02-05 10:30:00,1815.2,1815.2,1797.35,1807.1,60400
6,2024-02-05 10:45:00,1807.1,1808.2,1794.25,1796.65,20400
7,2024-02-05 11:00:00,1799.1,1806.15,1795.65,1804.0,21200
8,2024-02-05 11:15:00,1803.25,1803.25,1795.25,1801.6,7600
9,2024-02-05 11:30:00,1801.25,1802.3,1797.25,1799.0,6000
10,2024-02-05 11:45:00,1797.35,1805.35,1797.25,1805.0,24800
11,2024-02-05 12:00:00,1802.25,1803.95,1790.05,1793.25,38800
12,2024-02-05 12:15:00,1797.0,1797.0,1774.35,1783.7,44800
13,2024-02-05 12:30:00,1783.7,1784.2,1778.65,1780.35,21600
14,2024-02-05 12:45:00,1782.0,1788.3,1779.3,1788.3,9600
15,2024-02-05 13:00:00,1788.95,1790.7,1784.9,1788.1,9600
16,2024-02-05 13:15:00,1786.7,1794.25,1786.7,1791.05,5600
17,2024-02-05 13:30:00,1788.7,1796.95,1788.7,1796.15,7200
18,2024-02-05 13:45:00,1794.1,1794.4,1792.2,1792.2,2400
19,2024-02-05 14:00:00,1794.25,1794.25,1784.75,1789.45,7200
20,2024-02-05 14:15:00,1785.7,1789.6,1783.8,1786.3,11200
21,2024-02-05 14:30:00,1787.75,1787.75,1778.3,1778.3,16400
22,2024-02-05 14:45:00,1777.5,1783.5,1774.6,1781.85,35600
23,2024-02-05 15:00:00,1781.3,1787.3,1778.4,1781.05,28400
24,2024-02-05 15:15:00,1777.6,1783.0,1772.35,1772.35,26400
25,2024-02-06 09:15:00,1773.85,1791.2,1759.7,1774.35,36800
26,2024-02-06 09:30:00,1775.85,1789.3,1775.85,1788.9,7600
