,Date,Open,High,Low,Close,Volume
0,20250203  09:15:00,49066.0,49117.5,48909.5,48986.5,0
1,20250203  09:20:00,48987.0,49071.5,48933.5,49051.0,0
2,20250203  09:25:00,49052.5,49195.5,49035.0,49191.5,0
3,20250203  09:30:00,49186.5,49276.0,49170.0,49223.5,0
4,20250203  09:35:00,49227.0,49229.5,49115.0,49118.0,0
5,20250203  09:40:00,49120.5,49175.5,49048.5,49056.0,0
6,20250203  09:45:00,49056.0,49084.0,49020.0,49020.0,0
7,20250203  09:50:00,49022.5,49052.5,48996.0,49041.5,0
8,20250203  09:55:00,49038.5,49075.5,49010.5,49037.0,0
9,20250203  10:00:00,49039.0,49052.0,49012.0,49018.5,0
10,20250203  10:05:00,49023.5,49119.0,49011.5,49099.5,0
11,20250203  10:10:00,49099.0,49144.5,49076.0,49084.0,0
12,20250203  10:15:00,49081.5,49129.5,49050.0,49119.0,0
13,20250203  10:20:00,49119.5,49210.0,49110.0,49204.0,0
14,20250203  10:25:00,49202.5,49220.5,49150.5,49181.0,0
15,20250203  10:30:00,49178.0,49201.0,49142.5,49175.5,0
16,20250203  10:35:00,49177.0,49197.5,49149.0,49153.0,0
17,20250203  10:40:00,49152.0,49252.5,49114.5,49239.0,0
18,20250203  10:45:00,49237.0,49268.5,49213.0,49217.0,0
19,20250203  10:50:00,49215.0,49225.5,49141.5,49159.5,0
20,20250203  10:55:00,49159.5,49197.5,49154.0,49197.0,0
21,20250203  11:00:00,49196.5,49223.0,49163.0,49181.5,0
22,20250203  11:05:00,49182.5,49222.5,49178.0,49195.5,0
23,20250203  11:10:00,49197.5,49280.0,49192.5,49272.0,0
24,20250203  11:15:00,49270.0,49286.5,49246.5,49266.0,0
25,20250203  11:20:00,49268.5,49269.0,49202.5,49212.0,0
26,20250203  11:25:00,49210.5,49211.5,49136.0,49149.5,0
27,20250203  11:30:00,49146.5,49151.5,49089.0,49122.0,0
28,20250203  11:35:00,49121.5,49139.5,49063.5,49070.0,0
29,20250203  11:40:00,49071.5,49103.5,49054.5,49090.5,0
30,20250203  11:45:00,49088.0,49121.0,49065.5,49115.5,0
31,20250203  11:50:00,49114.0,49127.5,49089.5,49090.5,0
32,20250203  11:55:00,49094.0,49151.0,49086.5,49141.0,0
33,20250203  12:00:00,49141.0,49192.5,49126.0,49182.5,0
34,20250203  12:05:00,49183.0,49196.0,49159.0,49168.5,0
35,20250203  12:10:00,49169.0,49213.5,49156.5,49198.5,0
36,20250203  12:15:00,49199.0,49229.0,49180.5,49195.0,0
37,20250203  12:20:00,49193.0,49204.0,49172.5,49199.5,0
38,20250203  12:25:00,49201.0,49223.5,49173.5,49189.0,0
39,20250203  12:30:00,49182.5,49221.0,49177.5,49218.5,0
40,20250203  12:35:00,49217.5,49240.0,49199.0,49211.5,0
41,20250203  12:40:00,49213.5,49224.0,49174.5,49189.5,0
42,20250203  12:45:00,49191.5,49201.5,49152.0,49164.0,0
43,20250203  12:50:00,49165.5,49169.5,49123.0,49154.0,0
44,20250203  12:55:00,49157.0,49210.5,49152.0,49200.5,0
45,20250203  13:00:00,49208.5,49315.5,49190.0,49295.5,0
46,20250203  13:05:00,49297.5,49359.5,49255.0,49352.5,0
47,20250203  13:10:00,49353.0,49369.5,49325.0,49344.5,0
48,20250203  13:15:00,49347.5,49358.5,49274.5,49283.0,0
49,20250203  13:20:00,49283.0,49303.0,49258.0,49267.0,0
50,20250203  13:25:00,49264.5,49280.5,49200.0,49211.0,0
51,20250203  13:30:00,49212.0,49236.5,49202.5,49208.0,0
52,20250203  13:35:00,49206.5,49246.5,49199.5,49228.5,0
53,20250203  13:40:00,49233.0,49278.0,49226.0,49274.0,0
54,20250203  13:45:00,49275.0,49312.5,49256.5,49273.5,0
55,20250203  13:50:00,49271.5,49276.5,49188.0,49210.0,0
56,20250203  13:55:00,49210.5,49221.5,49192.5,49207.0,0
57,20250203  14:00:00,49209.5,49240.0,49201.0,49213.5,0
58,20250203  14:05:00,49215.5,49260.0,49211.5,49235.0,0
59,20250203  14:10:00,49234.0,49281.5,49221.0,49257.5,0
60,20250203  14:15:00,49256.0,49268.5,49245.0,49252.0,0
61,20250203  14:20:00,49253.5,49267.5,49227.5,49249.0,0
62,20250203  14:25:00,49251.0,49280.0,49244.5,49270.5,0
63,20250203  14:30:00,49272.5,49272.5,49233.0,49263.5,0
64,20250203  14:35:00,49264.0,49281.0,49250.0,49274.5,0
65,20250203  14:40:00,49277.0,49287.0,49241.5,49280.5,0
66,20250203  14:45:00,49280.0,49294.5,49251.5,49260.0,0
67,20250203  14:50:00,49263.0,49287.5,49251.0,49262.5,0
68,20250203  14:55:00,49266.5,49290.0,49257.0,49261.0,0
69,20250203  15:00:00,49261.5,49298.0,49185.5,49195.0,0
70,20250203  15:05:00,49195.5,49241.5,49188.5,49241.5,0
71,20250203  15:10:00,49237.0,49257.5,49206.0,49222.5,0
72,20250203  15:15:00,49226.0,49235.0,49183.0,49208.5,0
73,20250203  15:20:00,49210.0,49216.0,49186.0,49191.0,0
74,20250203  15:25:00,49197.0,49233.5,49192.5,49224.0,0
75,20250204  09:15:00,49531.5,49668.5,49498.0,49560.5,0
76,20250204  09:20:00,49559.5,49648.5,49559.0,49627.5,0
77,20250204  09:25:00,49620.5,49661.0,49599.5,49610.5,0
78,20250204  09:30:00,49611.0,49747.5,49573.5,49747.0,0
79,20250204  09:35:00,49751.5,49894.5,49743.0,49876.5,0
80,20250204  09:40:00,49875.0,49965.5,49873.5,49948.5,0
81,20250204  09:45:00,49943.5,49987.0,49923.0,49966.5,0
82,20250204  09:50:00,49969.0,50017.5,49941.0,49978.0,0
83,20250204  09:55:00,49980.0,49986.5,49937.5,49961.5,0
84,20250204  10:00:00,49960.5,49988.5,49880.0,49916.0,0
85,20250204  10:05:00,49915.5,49956.0,49907.5,49921.0,0
86,20250204  10:10:00,49916.0,49946.5,49845.0,49859.0,0
87,20250204  10:15:00,49859.0,49898.5,49837.5,49879.0,0
88,20250204  10:20:00,49879.5,49923.0,49873.0,49884.5,0
89,20250204  10:25:00,49885.0,49892.0,49824.0,49855.0,0
90,20250204  10:30:00,49857.0,49869.0,49800.5,49801.0,0
91,20250204  10:35:00,49802.5,49804.5,49619.5,49619.5,0
92,20250204  10:40:00,49622.0,49714.0,49615.0,49701.5,0
93,20250204  10:45:00,49701.0,49748.0,49684.5,49694.0,0
94,20250204  10:50:00,49690.0,49707.0,49611.0,49616.5,0
95,20250204  10:55:00,49619.0,49709.5,49619.0,49704.5,0
96,20250204  11:00:00,49705.0,49788.0,49690.0,49765.0,0
97,20250204  11:05:00,49765.5,49812.0,49760.5,49781.5,0
98,20250204  11:10:00,49781.5,49830.0,49756.5,49819.5,0
99,20250204  11:15:00,49823.5,49843.5,49788.5,49810.5,0
100,20250204  11:20:00,49815.0,49906.0,49811.0,49845.5,0
101,20250204  11:25:00,49843.5,49859.0,49816.5,49829.5,0
102,20250204  11:30:00,49825.0,49860.5,49809.0,49811.5,0
103,20250204  11:35:00,49815.5,49838.5,49804.0,49825.0,0
104,20250204  11:40:00,49825.5,49844.5,49768.0,49777.5,0
105,20250204  11:45:00,49776.5,49897.0,49767.5,49896.5,0
106,20250204  11:50:00,49895.0,49920.0,49798.0,49829.0,0
107,20250204  11:55:00,49827.5,49842.0,49798.0,49811.5,0
108,20250204  12:00:00,49813.0,49824.0,49768.5,49818.5,0
109,20250204  12:05:00,49817.5,49834.5,49774.5,49809.0,0
110,20250204  12:10:00,49809.0,49862.5,49809.0,49848.0,0
111,20250204  12:15:00,49846.0,49910.5,49841.5,49880.5,0
112,20250204  12:20:00,49876.5,49910.5,49857.5,49895.5,0
113,20250204  12:25:00,49899.5,49931.0,49880.5,49927.5,0
114,20250204  12:30:00,49924.5,50001.0,49913.0,49966.5,0
115,20250204  12:35:00,49968.0,50017.0,49957.0,49971.5,0
116,20250204  12:40:00,49968.0,50003.0,49944.0,49976.0,0
117,20250204  12:45:00,49973.5,49984.5,49944.5,49968.0,0
118,20250204  12:50:00,49963.5,50039.0,49950.0,50017.0,0
119,20250204  12:55:00,50020.0,50045.0,50003.5,50038.0,0
120,20250204  13:00:00,50043.5,50083.0,49977.0,49983.5,0
121,20250204  13:05:00,49981.0,50016.5,49924.0,50016.0,0
122,20250204  13:10:00,50015.5,50062.0,50008.0,50056.0,0
123,20250204  13:15:00,50058.0,50066.5,49988.5,50009.0,0
124,20250204  13:20:00,50013.0,50084.0,50009.5,50023.5,0
125,20250204  13:25:00,50028.5,50032.5,49981.5,50000.5,0
126,20250204  13:30:00,50004.0,50094.5,49994.0,50086.5,0
127,20250204  13:35:00,50089.5,50107.5,50043.0,50047.5,0
128,20250204  13:40:00,50048.5,50059.0,49987.0,49991.5,0
129,20250204  13:45:00,49990.0,50084.0,49974.5,50080.0,0
130,20250204  13:50:00,50084.5,50112.0,50048.5,50058.0,0
131,20250204  13:55:00,50060.0,50072.5,50017.0,50034.5,0
132,20250204  14:00:00,50036.0,50067.0,50023.0,50043.5,0
133,20250204  14:05:00,50041.5,50091.0,50038.0,50062.5,0
134,20250204  14:10:00,50064.0,50064.5,49912.5,49968.0,0
135,20250204  14:15:00,49960.0,49978.5,49938.5,49940.0,0
136,20250204  14:20:00,49945.0,49962.5,49888.0,49944.0,0
137,20250204  14:25:00,49953.5,49953.5,49907.0,49914.5,0
138,20250204  14:30:00,49916.0,49993.5,49902.5,49971.5,0
139,20250204  14:35:00,49973.5,50103.5,49964.5,50103.0,0
140,20250204  14:40:00,50102.0,50155.5,50093.0,50120.0,0
141,20250204  14:45:00,50118.5,50182.0,50073.5,50145.0,0
142,20250204  14:50:00,50148.0,50170.0,50130.5,50149.5,0
143,20250204  14:55:00,50158.0,50199.0,50139.5,50167.5,0
144,20250204  15:00:00,50167.0,50203.0,50137.0,50184.5,0
145,20250204  15:05:00,50186.5,50199.5,50142.0,50187.0,0
146,20250204  15:10:00,50184.0,50199.5,50134.0,50192.5,0
147,20250204  15:15:00,50192.0,50198.0,50116.0,50135.0,0
148,20250204  15:20:00,50133.5,50152.5,50105.0,50119.5,0
149,20250204  15:25:00,50120.5,50134.5,50083.5,50111.5,0
150,20250205  09:15:00,50400.5,50401.0,50282.5,50384.0,0
151,20250205  09:20:00,50382.0,50384.0,50307.5,50352.5,0
152,20250205  09:25:00,50351.5,50360.0,50308.0,50328.0,0
153,20250205  09:30:00,50327.5,50335.5,50222.0,50230.5,0
154,20250205  09:35:00,50224.0,50344.5,50216.5,50344.5,0
155,20250205  09:40:00,50343.0,50450.5,50341.5,50445.5,0
156,20250205  09:45:00,50445.0,50472.5,50432.5,50463.0,0
157,20250205  09:50:00,50462.5,50479.5,50420.0,50426.0,0
158,20250205  09:55:00,50427.5,50447.5,50391.0,50442.0,0
159,20250205  10:00:00,50448.5,50473.5,50368.5,50370.0,0
160,20250205  10:05:00,50372.5,50441.5,50360.5,50433.5,0
161,20250205  10:10:00,50430.0,50456.5,50408.5,50431.5,0
