,Date,Open,High,Low,Close,Volume
3608,20250303  10:26:00,22051.0,22075.15,22049.0,22074.85,0
3609,20250303  10:28:00,22076.15,22104.2,22073.1,22100.2,0
3610,20250303  10:30:00,22097.15,22100.9,22073.65,22074.65,0
3611,20250303  10:32:00,22075.0,22080.7,22052.1,22053.9,0
3612,20250303  10:34:00,22054.15,22064.85,22046.75,22049.2,0
3613,20250303  10:36:00,22051.35,22069.65,22051.35,22069.3,0
3614,20250303  10:38:00,22067.85,22081.45,22067.2,22075.4,0
3615,20250303  10:40:00,22075.8,22076.15,22066.6,22066.7,0
3616,20250303  10:42:00,22066.15,22066.85,22038.4,22038.85,0
3617,20250303  10:44:00,22039.3,22057.05,22038.45,22057.0,0
3618,20250303  10:46:00,22057.65,22069.65,22056.1,22066.9,0
3619,20250303  10:48:00,22067.3,22080.55,22067.3,22074.8,0
3620,20250303  10:50:00,22076.4,22078.65,22063.1,22076.15,0
3621,20250303  10:52:00,22075.8,22077.55,22060.4,22060.4,0
3622,20250303  10:54:00,22059.65,22060.05,22043.8,22045.7,0
3623,20250303  10:56:00,22045.6,22049.65,22035.1,22046.25,0
3624,20250303  10:58:00,22046.2,22047.25,22037.65,22045.1,0
3625,20250303  11:00:00,22043.8,22049.85,22035.05,22041.3,0
3626,20250303  11:02:00,22042.65,22046.55,22020.4,22023.35,0
3627,20250303  11:04:00,22022.3,22025.05,22011.7,22023.0,0
3628,20250303  11:06:00,22023.3,22036.6,22021.0,22030.2,0
3629,20250303  11:08:00,22029.95,22033.25,22027.85,22031.45,0
3630,20250303  11:10:00,22030.05,22034.15,22011.0,22011.0,0
3631,20250303  11:12:00,22011.85,22023.0,22006.25,22023.0,0
3632,20250303  11:14:00,22022.45,22033.65,22017.15,22018.9,0
3633,20250303  11:16:00,22018.6,22019.9,22012.3,22019.05,0
3634,20250303  11:18:00,22018.75,22023.7,22008.0,22011.95,0
3635,20250303  11:20:00,22013.05,22015.8,22006.55,22006.8,0
3636,20250303  11:22:00,22006.1,22020.4,22005.0,22017.7,0
3637,20250303  11:24:00,22018.05,22034.95,22017.15,22028.6,0
3638,20250303  11:26:00,22028.95,22035.7,22022.5,22034.15,0
3639,20250303  11:28:00,22034.55,22036.45,22028.75,22031.45,0
3640,20250303  11:30:00,22031.5,22033.55,22024.0,22026.65,0
3641,20250303  11:32:00,22027.5,22039.2,22026.9,22037.8,0
3642,20250303  11:34:00,22037.85,22044.25,22027.85,22031.1,0
3643,20250303  11:36:00,22031.3,22031.85,22017.15,22021.75,0
3644,20250303  11:38:00,22022.6,22025.6,22010.5,22019.55,0
3645,20250303  11:40:00,22020.3,22023.45,22016.8,22017.35,0
3646,20250303  11:42:00,22017.4,22028.55,22015.35,22016.85,0
3647,20250303  11:44:00,22017.95,22023.95,22013.75,22022.6,0
3648,20250303  11:46:00,22024.05,22040.3,22022.5,22035.6,0
3649,20250303  11:48:00,22035.05,22035.75,22024.15,22032.0,0
3650,20250303  11:50:00,22033.2,22035.35,22027.35,22031.05,0
3651,20250303  11:52:00,22030.85,22032.6,22018.35,22018.35,0
3652,20250303  11:54:00,22018.3,22019.85,22014.5,22019.6,0
3653,20250303  11:56:00,22019.65,22025.85,22014.85,22017.8,0
3654,20250303  11:58:00,22018.6,22019.15,22011.35,22012.8,0
3655,20250303  12:00:00,22013.1,22018.65,22009.05,22015.7,0
3656,20250303  12:02:00,22015.9,22017.75,22006.7,22016.65,0
3657,20250303  12:04:00,22016.5,22027.2,22016.5,22025.8,0
3658,20250303  12:06:00,22027.45,22035.2,22026.05,22032.4,0
3659,20250303  12:08:00,22032.9,22042.6,22030.4,22033.5,0
3660,20250303  12:10:00,22034.2,22036.55,22024.85,22026.95,0
3661,20250303  12:12:00,22026.55,22042.1,22024.45,22040.55,0
3662,20250303  12:14:00,22040.6,22056.1,22040.6,22044.75,0
3663,20250303  12:16:00,22045.1,22047.6,22037.1,22043.85,0
3664,20250303  12:18:00,22043.95,22072.3,22043.95,22060.65,0
3665,20250303  12:20:00,22060.15,22072.85,22057.0,22070.85,0
3666,20250303  12:22:00,22071.05,22081.1,22066.45,22079.55,0
3667,20250303  12:24:00,22080.7,22086.5,22075.6,22080.75,0
3668,20250303  12:26:00,22081.25,22083.35,22064.05,22064.55,0
3669,20250303  12:28:00,22064.0,22074.4,22064.0,22071.7,0
3670,20250303  12:30:00,22071.5,22080.5,22070.85,22079.35,0
3671,20250303  12:32:00,22080.15,22102.45,22080.0,22094.25,0
3672,20250303  12:34:00,22090.9,22110.95,22090.9,22104.15,0
3673,20250303  12:36:00,22104.0,22105.45,22080.3,22080.3,0
3674,20250303  12:38:00,22080.7,22099.0,22080.7,22092.35,0
3675,20250303  12:40:00,22093.1,22104.85,22088.15,22104.0,0
3676,20250303  12:42:00,22105.0,22110.05,22097.6,22108.0,0
3677,20250303  12:44:00,22107.95,22130.1,22103.5,22129.3,0
3678,20250303  12:46:00,22129.85,22151.85,22129.85,22134.95,0
3679,20250303  12:48:00,22133.75,22152.7,22131.1,22151.9,0
3680,20250303  12:50:00,22151.65,22154.15,22128.35,22130.05,0
3681,20250303  12:52:00,22128.8,22130.5,22111.3,22124.8,0
3682,20250303  12:54:00,22124.6,22132.0,22122.35,22125.85,0
3683,20250303  12:56:00,22125.3,22133.25,22121.9,22124.4,0
3684,20250303  12:58:00,22123.9,22130.4,22108.65,22113.75,0
3685,20250303  13:00:00,22113.55,22124.1,22113.55,22119.55,0
3686,20250303  13:02:00,22119.2,22123.45,22105.0,22117.05,0
3687,20250303  13:04:00,22116.3,22130.95,22111.4,22129.4,0
3688,20250303  13:06:00,22129.25,22132.35,22117.75,22128.05,0
3689,20250303  13:08:00,22127.9,22140.75,22127.9,22140.75,0
3690,20250303  13:10:00,22140.85,22145.25,22135.3,22143.7,0
3691,20250303  13:12:00,22144.15,22150.65,22141.7,22144.7,0
3692,20250303  13:14:00,22143.5,22159.6,22143.5,22149.85,0
3693,20250303  13:16:00,22148.85,22173.45,22148.85,22172.6,0
3694,20250303  13:18:00,22172.1,22174.15,22150.4,22150.4,0
3695,20250303  13:20:00,22151.6,22153.25,22128.8,22137.05,0
3696,20250303  13:22:00,22137.1,22152.1,22137.1,22149.15,0
3697,20250303  13:24:00,22149.1,22153.45,22138.1,22139.3,0
3698,20250303  13:26:00,22139.6,22141.7,22129.5,22130.9,0
3699,20250303  13:28:00,22131.3,22133.35,22110.4,22117.15,0
3700,20250303  13:30:00,22120.3,22126.3,22114.7,22118.4,0
3701,20250303  13:32:00,22117.9,22118.0,22092.45,22109.15,0
3702,20250303  13:34:00,22110.05,22124.05,22101.8,22119.55,0
3703,20250303  13:36:00,22119.05,22121.3,22107.5,22112.1,0
3704,20250303  13:38:00,22110.85,22124.5,22110.8,22118.5,0
3705,20250303  13:40:00,22117.6,22119.0,22107.75,22115.35,0
3706,20250303  13:42:00,22115.9,22125.55,22113.45,22113.8,0
3707,20250303  13:44:00,22114.0,22127.7,22109.3,22122.65,0
3708,20250303  13:46:00,22123.35,22132.65,22117.6,22122.6,0
3709,20250303  13:48:00,22123.5,22134.9,22122.35,22131.2,0
3710,20250303  13:50:00,22130.45,22149.75,22128.85,22139.8,0
3711,20250303  13:52:00,22140.25,22147.9,22135.25,22136.5,0
3712,20250303  13:54:00,22137.5,22139.65,22120.1,22120.1,0
